ID_PODA,FECHA DE ATENCION ,COLONIA ,CALLE,NUMERO ,FOLIO ,ESPECIE,ACLAREO PZA,DESCHUPONEO PZA,ELEVACION DE COPA PZA,LIB  DE CAMARAS PZA,LIB  DE FACHADA PZA,LIB  DE LINEAS ELECTRICAS Y AEREAS PZA,LIB  DE LUMINARIAS PZA,VELA,FACHADA,POSTE,LIB  DE SEMAFOROS PZA,LIB  DE SENALAMIENTOS PZA,LIMPIEZA DE COPA PZA,PODA DE FORMACION RESTAURACION DE COPA PZA,PODA ESTETICA O TOPIARIA PZA,PODA DE MUERDAGO PZA,PODA DE HENO MOTITA PZA,REDUCCIÓN DE COPA PZA,TOTAL,LATITUD ,LONGITUD ,FUENTE DE INFORMACION 
1,25/01/2002,VERONICA ANZURES,AV GUTENBERG,79,9365,PODA DE 1 PIRUL BRASILENO Y 1 EUCALIPTO,,,,,,,,,,,,,2,,,,,,2,19.43318,-99.17453,EMPRESA KAAB
2,25/01/2003,VERONICA ANZURES,BAHIA DE CARACAS,69,9689,PODA DE 2 FICUS Y 1 TROENO,,,,,,,,,,,,,3,,,,,,3,19.43373,-99.1744,EMPRESA KAAB
3,25/01/2004,OBSERVATORIO,EX ARZOBISPADO,TODA LA CALLE,SIN FOLIO ,MANTENIMIENTO,,,4,,,,,,,,,,,,6,,,,10,19.40435,-99.1969, JUD JARDINERIA
4,25/01/2005,DANIEL GARZA,BARRANQUILLA,112,SIN FOLIO ,MANTENIMIENTO,,,,,,,,,,,,,,,3,,,,3,19.40549,-99.19761, JUD JARDINERIA
5,25/01/2006,AMPLIACION DANIEL GARZA,GRAL ENRIQUE TORROELLA,ESQUINA,SIN FOLIO ,MANTENIMIENTO,,,,,,,,,,,,,,,6,,,,6,19.4093,-99.19135, JUD JARDINERIA
6,25/01/2007,MEXICO NUEVO,SANTA CRUZ CACALCO,PLAZUELA SAN JOAQUIN,SIN FOLIO ,MANTENIMIENTO,,,,,,,,,,,,,,,7,,,,7,19.4528,-99.20817, JUD JARDINERIA
7,25/01/2008,OBSERVATORIO,JESUS A FLORES,89,12030,PODA DE 1 FRESNO,,,,,,,,,,,,,1,,,,,,1,19.40564,-99.19613,EMPRESA KAAB
8,25/01/2009,POLANCO I SECCION,AV CICERON,4714,16533,PODA DE 1 FRESNO,,,1,,,,,,,,,,,,,,,,1,19.4332,-99.20204, JUD JARDINERIA
9,25/01/2010,POLANCO II SECCION,DICKENS,69,16727,PODA DE 2 FICUS,,,2,,,,,,,,,,,,,,,,2,19.43063,-99.20351, JUD JARDINERIA
10,25/01/2011,DOS LAGOS,LAGO CONSTANZA,101,17459,PODA DE 1 HULE,,,1,,,,,,,,,,,,,,,,1,19.44646,-99.18728, JUD JARDINERIA
11,25/01/2012,OBSERVATORIO,GRAL JUAN VILLEGAS,ESQUINA FACHADA COLOR AMARILLO,22714,PODA DE 2 LIQUIDAMBAR,,,,,,,,,,,,,2,,,,,,2,19.40794,-99.19631,EMPRESA KAAB
12,25/01/2013,NEXTITLA,MAR MEDITERRANEO,82 DEPORTIVO PLAN SEXENAL,SIN FOLIO,MANTENIMIENTO,,,,,,,,,,,,,,,10,,,,10,19.45909,-99.18343, JUD JARDINERIA
13,25/01/2014,AMPLIACION DANIEL GARZA,GOB GRAL JOSE MORAN,ESQUINA,SIN FOLIO,MANTENIMIENTO,,,,,,,,,,,,,,,4,,,,4,19.40917,-99.1901, JUD JARDINERIA
14,25/01/2015,OBSERVATORIO,GRAL VICTORIANO CEPEDA,62 FTE PRIMARIA ANGEL ANGUIANO,171,PODA DE 1 FICUS Y 1 CHIRIMOYA,,,1,,,,,,,,,,1,,,,,,2,19.40531,-99.19392, JUD JARDINERIA
15,25/01/2016,OBSERVATORIO,GRAL VICTORIANO CEPEDA,84,SIN FOLIO,PODA DE 1 LIQUIDAMBAR,,,1,,,,,,,,,,,,,,,,1,19.40532,-99.19392, JUD JARDINERIA
16,25/01/2017,OBSERVATORIO,GRAL VICTORIANO CEPEDA,82,SIN FOLIO,PODA DE 1 FRESNO,,,1,,,,,,,,,,,,,,,,1,19.40532,-99.19392, JUD JARDINERIA
17,25/01/2018,OBSERVATORIO,GRAL VICTORIANO CEPEDA,86,SIN FOLIO,PODA DE 1 COLORIN,,,,,1,,,,,,,,,,,,,,1,19.40531,-99.19391, JUD JARDINERIA
18,25/01/2019,OBSERVATORIO,GRAL VICTORIANO CEPEDA,77,SIN FOLIO,PODA DE 1 ROSA LAUREL 1 LIQUIDAMBAR Y 1 FICUS,,,3,,,,,,,,,,,,,,,,3,19.4048,-99.19627, JUD JARDINERIA
19,25/01/2020,OBSERVATORIO,GRAL VICTORIANO CEPEDA,79,SIN FOLIO,PODA DE 1 FRESNO Y 1 FICUS,,,2,,,,,,,,,,,,,,,,2,19.40564,-99.19374, JUD JARDINERIA
20,25/01/2021,OBSERVATORIO,GRAL VICTORIANO CEPEDA,74,SIN FOLIO,PODA DE 1 FRESNO Y 1 HULE,,,1,,1,,,,,,,,,,,,,,2,19.40532,-99.19394, JUD JARDINERIA
21,25/01/2022,OBSERVATORIO,GRAL VICTORIANO CEPEDA,69,SIN FOLIO,PODA DE 1 CASUARINA,,,1,,,,,,,,,,,,,,,,1,19.40566,-99.19377, JUD JARDINERIA
22,25/01/2023,OBSERVATORIO,GRAL VICTORIANO CEPEDA,66,SIN FOLIO,PODA DE 1 FRESNO,,,,,,,,,,,,,1,,,,,,1,19.40529,-99.19387, JUD JARDINERIA
23,25/01/2024,OBSERVATORIO,GRAL VICTORIANO CEPEDA,64,SIN FOLIO,PODA DE 1 FRESNO,,,,,,,,,,,,,1,,,,,,1,19.4053,-99.19391, JUD JARDINERIA
24,25/01/2025,OBSERVATORIO,EX ARZOBISPADO,ESQUINA,SIN FOLIO,PODA DE 1 LAUREL,,,,,1,,,,,,,,,,,,,,1,19.40435,-99.1969, JUD JARDINERIA
25,25/01/2026,POLANCO III SECCION,OLIVER GOLDSMITH,127,16662,PODA DE 1 FICUS,,,1,,,,,,,,,,,,,,,,1,19.43328,-99.20033, JUD JARDINERIA
26,25/01/2027,OBSERVATORIO,GRAL VICTORIANO CEPEDA,50,18516,PODA DE 1 FICUS Y DERRIBO DE 1 FRESNO,,,,,,,,,,,,,1,,,,,,1,19.4053,-99.19392, JUD JARDINERIA
27,25/01/2028,OBSERVATORIO,JESUS A FLORES,33,21359,PODA DE 1 FICUS,,,,,,,,,,,,,1,,,,,,1,19.4063,-99.19342,EMPRESA KAAB
28,25/01/2029,OBSERVATORIO,GRAL MANUEL M PLATA,23,30218,PODA DE 1 HULE Y 1 LIQUIDAMABAR,,,,,,,,,,,,,2,,,,,,2,19.40634,-99.19513,EMPRESA KAAB
29,25/01/1930,SANTO TOMAS,MAR MEDITERRANEO,JARDINERAS,SIN FOLIO,MANTENIMIENTO Y PODA TOPIARIA DE 5 BUGAMBILIAS,,,,,,,,,,,,,,,5,,,,5,19.45754,-99.18011, JUD JARDINERIA
30,25/01/1931,OBSERVATORIO,GRAL VICTORIANO CEPEDA,52,SIN FOLIO,PODA DE 1 FICUS,,,,,1,,,,,,,,,,,,,,1,19.40532,-99.19392, JUD JARDINERIA
31,25/02/2001,OBSERVATORIO,GRAL VICTORIANO CEPEDA,49,SIN FOLIO,PODA DE 1 HULE BARRIDO Y RETIRO DE DESECHO VEGETAL,1,,,,,,,,,,,,,,,,,,1,19.40565,-99.19377, JUD JARDINERIA
32,25/02/2002,REFORMA PENSIL,LAGO CHIEM,87,17364,PODA DE 1 CASUARINA,,,1,,,,,,,,,,,,,,,,1,19.45017,-99.19098, JUD JARDINERIA
33,25/02/2003,REFORMA PENSIL,LAGO CHIEM,151,17783,PODA DE 1 CASUARINA,,,1,,,,,,,,,,,,,,,,1,19.44823,-99.19148, JUD JARDINERIA
34,25/02/2004,REFORMA PENSIL,LAGO CHIEM,12,18044,PODA DE 1 JACARANDA,,,1,,,,,,,,,,,,,,,,1,19.45229,-99.1901, JUD JARDINERIA
35,25/02/2005,OBSERVATORIO,GRAL VICTORIANO CEPEDA,46,SIN FOLIO ,DERRIBO DE 1 FRESNO Y PODA DE 1 PALMERA,,,,,,,,,,,,,1,,,,,,1,19.40533,-99.19393, JUD JARDINERIA
36,25/02/2006,OBSERVATORIO,GRAL VICTORIANO CEPEDA,42,SIN FOLIO ,PODA DE 1 FICUS,1,,,,,,,,,,,,,,,,,,1,19.40533,-99.19392, JUD JARDINERIA
37,25/02/2007,OBSERVATORIO,GRAL VICTORIANO CEPEDA,40,SIN FOLIO ,PODA DE 1 JACARANDA Y 1 FICUS BARRIDO Y RETIRO DE DESECHO VEGETAL,,,2,,,,,,,,,,,,,,,,2,19.40522,-99.19378, JUD JARDINERIA
38,25/02/2008,OBSERVATORIO,PRIV SOSTENES ROCHA,5,12907,PODA DE 2 FICUS,,,,,,,,,,,,,2,,,,,,2,19.40763,-99.19216,EMPRESA KAAB
39,25/02/2009,OBSERVATORIO,JOSE MARIA CUETO,1,13879,PODA DE 1 CEDRO Y 1 FICUS,,,,,,,,,,,,,2,,,,,,2,19.40488,-99.19235,EMPRESA KAAB
